date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:44:30	3295/3295	---MC-	200	added ('OK')	application/javascript	date:Thu,%2022%20Jul%202021%2019:14:29%20GMT	https://csr.live/assets/8/8f271511da/315641f9/js/custom.js	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/js/custom.js	(from https://csr.live/)
00:44:31	12969/12969	---MC-	200	added ('OK')	application/javascript	date:Thu,%2022%20Jul%202021%2019:14:30%20GMT	https://csr.live/assets/8/8f271511da/315641f9/js/bootstrap.offcanvas.js	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/js/bootstrap.offcanvas.js	(from https://csr.live/)
00:44:32	6027/6027	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Jul%202021%2019:14:32%20GMT	https://csr.live/assets/8/8f271511da/315641f9/css/grabbing.png	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/css/grabbing.37.delayed	(from https://csr.live/assets/8/8f271511da/315641f9/css/owl.carousel.css)
00:44:33	6027/6027	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Jul%202021%2019:14:33%20GMT	https://csr.live/assets/8/8f271511da/315641f9/css/AjaxLoader.gif	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/css/AjaxLoader.38.delayed	(from https://csr.live/assets/8/8f271511da/315641f9/css/owl.theme.css)
00:44:34	274684/274684	---MC-	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Jul%202021%2019:14:33%20GMT	https://csr.live/assets/8/8f271511da/315641f9/fonts/materialdesignicons-webfont.eot?v=1.9.32	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/fonts/materialdesignicons-webfontb43a.eot	(from https://csr.live/assets/8/8f271511da/315641f9/css/materialdesignicons.min.css)
00:44:35	274684/274684	---MC-	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Jul%202021%2019:14:34%20GMT	https://csr.live/assets/8/8f271511da/315641f9/fonts/materialdesignicons-webfont.eot?	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/fonts/materialdesignicons-webfontd41d.eot	(from https://csr.live/assets/8/8f271511da/315641f9/css/materialdesignicons.min.css)
00:44:36	103708/103708	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:14:35%20GMT	https://csr.live/assets/8/8f271511da/315641f9/fonts/materialdesignicons-webfont.woff2?v=1.9.32	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/fonts/materialdesignicons-webfontb43a.html	(from https://csr.live/assets/8/8f271511da/315641f9/css/materialdesignicons.min.css)
00:44:37	135276/135276	---MC-	200	added ('OK')	application/font-woff	date:Thu,%2022%20Jul%202021%2019:14:36%20GMT	https://csr.live/assets/8/8f271511da/315641f9/fonts/materialdesignicons-webfont.woff?v=1.9.32	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/fonts/materialdesignicons-webfontb43a.woff	(from https://csr.live/assets/8/8f271511da/315641f9/css/materialdesignicons.min.css)
00:44:38	274464/274464	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:14:37%20GMT	https://csr.live/assets/8/8f271511da/315641f9/fonts/materialdesignicons-webfont.ttf?v=1.9.32	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/fonts/materialdesignicons-webfontb43a-2.html	(from https://csr.live/assets/8/8f271511da/315641f9/css/materialdesignicons.min.css)
00:44:41	6027/6027	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Jul%202021%2019:14:41%20GMT	https://csr.live/images/global_company_1.jpg	%1d/csrlive/csr.live/images/global_company_1.40.delayed	(from https://csr.live/assets/8/8f271511da/315641f9/css/style.css)
